,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season
5871,667,A.C. Green,DAL,34,81.0,225.0,Oregon State,USA,1985,1,23,82,7.3,8.1,1.5,-7.2,0.118,0.496,0.074,1997-98
12305,1625,A.J. Bramlett,CLE,23,82.0,227.0,Arizona,USA,1999,2,39,8,1.0,2.8,0.0,-32.6,0.146,0.19,0.0,1999-00
7047,1970,A.J. Guyton,CHI,23,73.0,180.0,Indiana,USA,2000,2,32,33,6.0,1.1,1.9,-12.4,0.169,0.495,0.198,2000-01
9578,12588,A.J. Lawson,DAL,22,78.0,179.0,South Carolina,Canada,,Undrafted,Undrafted,15,3.7,1.4,0.1,-20.1,0.189,0.589,0.032,2022-23
8774,12589,AJ Green,MIL,23,77.0,190.0,Northern Iowa,USA,,Undrafted,Undrafted,35,4.4,1.3,0.6,-4.9,0.159,0.607,0.092,2022-23
4762,12590,AJ Griffin,ATL,19,78.0,220.0,Duke,USA,2022,1,16,72,8.9,2.1,1.0,1.5,0.174,0.577,0.07,2022-23
11233,9405,AJ Hammons,DAL,24,84.0,260.0,Purdue,USA,2016,2,46,22,2.2,1.6,0.2,-0.6,0.167,0.472,0.038,2016-17
5579,7226,AJ Price,WAS,26,74.0,185.0,Connecticut,USA,2009,2,52,57,7.7,2.0,3.6,-2.3,0.181,0.501,0.273,2012-13
764,5932,Aaron Brooks,HOU,25,72.0,161.0,Oregon,USA,2007,1,26,82,19.6,2.6,5.3,-0.7,0.258,0.549,0.253,2009-10
1148,9925,Aaron Gordon,ORL,22,81.0,220.0,Arizona,USA,2014,1,4,58,17.6,7.9,2.3,-2.0,0.238,0.53,0.111,2017-18
8820,5032,Aaron Gray,CHI,23,84.0,270.0,Pittsburgh,USA,2007,2,49,61,4.3,2.8,0.7,-1.0,0.221,0.529,0.113,2007-08
6452,9924,Aaron Harrison,DAL,23,78.0,210.0,Kentucky,USA,,Undrafted,Undrafted,9,6.7,2.7,1.2,-14.1,0.147,0.392,0.072,2017-18
12669,11956,Aaron Henry,PHI,22,77.0,210.0,Michigan State,USA,,Undrafted,Undrafted,6,0.3,0.2,0.0,-56.0,0.149,0.2,0.0,2021-22
4338,10850,Aaron Holiday,IND,23,72.0,185.0,UCLA,USA,2018,1,23,66,9.5,2.4,3.4,2.2,0.182,0.521,0.188,2019-20
5361,9923,Aaron Jackson,HOU,32,75.0,183.0,,USA,,Undrafted,Undrafted,1,8.0,3.0,1.0,-19.8,0.149,0.405,0.053,2017-18
2843,2612,Aaron McKie,PHI,29,77.0,209.0,Temple,USA,1994,1,17,48,12.2,4.0,3.7,3.4,0.199,0.54,0.22,2001-02
12483,4312,Aaron Miles,GSW,23,73.0,190.0,Kansas,USA,,Undrafted,Undrafted,19,0.8,0.7,1.3,-3.9,0.113,0.405,0.308,2005-06
3983,12593,Aaron Nesmith,IND,23,77.0,215.0,Vanderbilt,USA,2020,1,14,73,10.1,3.8,1.3,-4.7,0.168,0.566,0.073,2022-23
5166,11959,Aaron Wiggins,OKC,23,76.0,190.0,Maryland,USA,2021,2,55,50,8.3,3.6,1.4,-8.1,0.149,0.556,0.083,2021-22
3857,1968,Aaron Williams,NJN,29,81.0,225.0,Xavier,USA,,Undrafted,Undrafted,82,10.2,7.2,1.1,-9.1,0.18,0.533,0.068,2000-01
6465,11333,Abdel Nader,PHX,27,77.0,225.0,Iowa State,Egypt,2016,2,58,24,6.7,2.6,0.8,5.0,0.183,0.605,0.078,2020-21
9105,422,Acie Earl,MIL,27,83.0,240.0,Iowa,USA,1993,1,19,47,4.0,2.0,0.4,-6.4,0.224,0.435,0.077,1996-97
8830,5934,Acie Law,CHI,25,75.0,202.0,Texas A&M,USA,2007,1,11,26,4.3,0.7,1.0,7.0,0.22,0.585,0.17,2009-10
11846,2926,Adam Harrington,DEN,22,77.0,200.0,Auburn,USA,,Undrafted,Undrafted,19,1.6,0.4,0.6,-15.7,0.167,0.387,0.179,2002-03
5467,639,Adam Keefe,UTA,28,81.0,230.0,Stanford,USA,1992,1,10,80,7.8,5.5,1.1,9.7,0.131,0.605,0.063,1997-98
10486,10848,Adam Mokoka,CHI,21,77.0,190.0,,France,,Undrafted,Undrafted,11,2.9,0.9,0.4,17.1,0.11,0.538,0.043,2019-20
3060,4510,Adam Morrison,CHA,22,80.0,205.0,Gonzaga,USA,2006,1,3,78,11.8,2.9,2.1,-7.0,0.22,0.45,0.121,2006-07
12827,11961,Ade Murkey,SAC,24,77.0,200.0,Denver,USA,,Undrafted,Undrafted,1,0.0,0.0,0.0,-33.3,0.0,0.0,0.0,2021-22
8994,12595,Admiral Schofield,ORL,26,77.0,241.0,Tennessee,United Kingdom,2019,2,42,37,4.2,1.7,0.8,-8.3,0.139,0.587,0.103,2022-23
7151,1966,Adonal Foyle,GSW,26,82.0,250.0,Colgate,St. Vincent & Grenadines,1997,1,8,58,5.9,7.0,0.8,-11.7,0.139,0.422,0.052,2000-01
11919,1011,Adonis Jordan,MIL,28,71.0,170.0,Kansas,USA,1993,2,42,4,1.5,0.0,0.8,-36.4,0.185,0.521,0.273,1998-99
11103,8097,Adonis Thomas,PHI,21,79.0,240.0,Memphis,USA,,Undrafted,Undrafted,6,2.3,0.5,0.5,10.8,0.184,0.485,0.115,2013-14
6439,8330,Adreian Payne,MIN,24,82.0,245.0,Michigan State,USA,2014,1,15,32,6.7,5.1,0.9,-16.9,0.176,0.443,0.067,2014-15
11142,424,Adrian Caldwell,PHI,30,80.0,265.0,Lamar,USA,,Undrafted,Undrafted,45,2.2,3.7,0.3,-6.2,0.105,0.443,0.03,1996-97
5970,2609,Adrian Griffin,DAL,27,77.0,215.0,Seton Hall,USA,,Undrafted,Undrafted,58,7.2,3.9,1.8,6.3,0.137,0.545,0.108,2001-02
11512,11963,Ahmad Caver,IND,25,74.0,174.0,Old Dominion,USA,2019,Undrafted,Undrafted,1,2.0,0.0,0.0,133.3,0.5,1.0,0.0,2021-22
685,5758,Al Harrington,NYK,29,81.0,250.0,,USA,1998,1,25,73,20.1,6.2,1.4,-1.9,0.256,0.547,0.068,2008-09
947,8094,Al Horford,ATL,28,82.0,250.0,Florida,Dominican Republic,2007,1,3,29,18.6,8.4,2.6,3.7,0.246,0.588,0.139,2013-14
315,5768,Al Jefferson,MIN,24,82.0,265.0,,USA,2004,1,15,50,23.1,11.0,1.6,-4.6,0.288,0.532,0.082,2008-09
1337,5760,Al Thornton,LAC,25,80.0,220.0,Florida State,USA,2007,1,14,71,16.8,5.2,1.5,-10.6,0.228,0.502,0.068,2008-09
3886,8755,Al-Farouq Aminu,POR,25,81.0,215.0,Wake Forest,USA,2010,1,8,82,10.2,6.1,1.7,1.5,0.169,0.533,0.087,2015-16
3627,7618,Alan Anderson,TOR,30,78.0,220.0,Michigan State,USA,,Undrafted,Undrafted,65,10.7,2.3,1.6,-3.7,0.237,0.509,0.125,2012-13
2012,642,Alan Henderson,ATL,25,81.0,235.0,Indiana,USA,1995,1,16,69,14.3,6.4,1.1,3.4,0.234,0.534,0.068,1997-98
5835,9396,Alan Williams,PHX,24,80.0,260.0,California-Santa Barbara,USA,,Undrafted,Undrafted,47,7.4,6.2,0.5,-0.3,0.206,0.547,0.049,2016-17
8495,5761,Alando Tucker,PHX,25,78.0,205.0,Wisconsin,USA,2007,1,29,30,4.6,1.0,0.4,2.1,0.216,0.509,0.064,2008-09
1820,10845,Alec Burks,PHI,28,78.0,214.0,Colorado,USA,2011,1,12,66,15.0,4.3,2.9,-6.3,0.23,0.561,0.179,2019-20
9075,9915,Alec Peters,PHX,23,81.0,235.0,Valparaiso,USA,2017,2,54,20,4.1,1.9,0.6,7.3,0.151,0.523,0.073,2017-18
10600,11985,Aleem Ford,ORL,24,80.0,220.0,Wisconsin,USA,,Undrafted,Undrafted,5,2.8,3.0,0.4,-22.1,0.148,0.35,0.043,2021-22
5691,12002,Alekesej Pokusevski,OKC,20,84.0,190.0,,Serbia,2020,1,17,61,7.6,5.2,2.1,-2.5,0.195,0.485,0.161,2021-22
10131,426,Aleksandar Djordjevic,POR,29,74.0,198.0,,USA,,Undrafted,Undrafted,8,3.1,0.6,0.6,4.8,0.179,0.687,0.135,1996-97
11042,1617,Aleksandar Radojevic,TOR,23,87.0,245.0,Barton Community College,USA,1999,1,12,3,2.3,2.7,0.3,-22.1,0.228,0.363,0.077,1999-00
5231,11338,Aleksej Pokusevski,OKC,19,84.0,190.0,,Serbia,2020,1,17,45,8.2,4.7,2.2,-16.7,0.197,0.43,0.133,2020-21
8986,10843,Alen Smailagic,GSW,19,82.0,215.0,,Serbia,2019,2,39,14,4.2,1.9,0.9,-3.0,0.175,0.61,0.133,2019-20
7109,9394,Alex Abrines,OKC,23,78.0,190.0,,Spain,2013,2,32,68,6.0,1.3,0.6,-2.3,0.157,0.56,0.055,2016-17
10445,5762,Alex Acker,LAC,26,77.0,185.0,Pepperdine,USA,2005,2,60,25,2.9,1.0,0.5,1.8,0.203,0.448,0.091,2008-09
4540,10277,Alex Caruso,LAL,25,77.0,186.0,Texas A&M,USA,,Undrafted,Undrafted,25,9.2,2.7,3.1,3.2,0.184,0.569,0.205,2018-19
7555,3818,Alex Garcia,NOH,25,75.0,195.0,,USA,,Undrafted,Undrafted,8,5.5,1.9,2.3,-16.6,0.199,0.409,0.228,2004-05
12504,8324,Alex Kirk,CLE,23,84.0,245.0,New Mexico,USA,,Undrafted,Undrafted,5,0.8,0.2,0.2,-61.8,0.17,0.41,0.125,2014-15
3429,10278,Alex Len,ATL,26,85.0,250.0,Maryland,Ukraine,2013,1,5,77,11.1,5.5,1.1,-4.4,0.214,0.575,0.086,2018-19
3632,9392,Alex Poythress,PHI,23,79.0,238.0,Kentucky,USA,,Undrafted,Undrafted,6,10.7,4.8,0.8,-9.6,0.166,0.548,0.052,2016-17
12736,4303,Alex Scales,SAS,27,76.0,195.0,Oregon,USA,,Undrafted,Undrafted,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-06
10568,8760,Alex Stepheson,MEM,28,82.0,270.0,USC,USA,,Undrafted,Undrafted,8,2.8,3.5,0.3,-3.8,0.17,0.341,0.053,2015-16
8698,4503,Alexander Johnson,MEM,24,81.0,240.0,Florida State,USA,2006,2,45,59,4.4,3.1,0.3,-1.9,0.161,0.588,0.033,2006-07
3819,8291,Alexey Shved,NYK,26,78.0,187.0,,Russia,,Undrafted,Undrafted,42,10.3,2.4,2.5,-8.5,0.258,0.541,0.26,2014-15
6621,8320,Alexis Ajinca,NOP,27,86.0,248.0,,France,2008,1,20,68,6.5,4.6,0.7,-0.6,0.214,0.595,0.084,2014-15
8421,10280,Alfonzo McKinnie,GSW,26,80.0,215.0,,USA,,Undrafted,Undrafted,72,4.7,3.4,0.4,0.9,0.131,0.569,0.041,2018-19
7888,11344,Alize Johnson,BKN,25,79.0,212.0,Missouri State,USA,2018,2,50,18,5.2,5.0,0.8,-4.5,0.175,0.638,0.11,2020-21
364,2921,Allan Houston,NYK,32,78.0,200.0,Tennessee,USA,1993,1,11,82,22.5,2.8,2.7,-1.6,0.269,0.563,0.129,2002-03
6888,4502,Allan Ray,BOS,23,74.0,190.0,Villanova,USA,,Undrafted,Undrafted,47,6.2,1.5,0.9,-3.2,0.202,0.512,0.105,2006-07
2452,9909,Allen Crabbe,BKN,26,78.0,215.0,California,USA,2013,2,31,75,13.2,4.3,1.6,-1.9,0.183,0.558,0.082,2017-18
4,4302,Allen Iverson,PHI,31,72.0,165.0,Georgetown,USA,1996,1,1,72,33.0,3.2,7.4,0.8,0.354,0.543,0.331,2005-06
3536,10283,Allonzo Trier,NYK,23,77.0,200.0,Arizona,USA,,Undrafted,Undrafted,64,10.9,3.1,1.9,-7.2,0.207,0.564,0.131,2018-19
12843,12602,Alondes Williams,BKN,24,76.0,210.0,Wake Forest,USA,,Undrafted,Undrafted,1,0.0,1.0,0.0,-53.0,0.143,0.0,0.0,2022-23
3662,6996,Alonzo Gee,CLE,25,78.0,219.0,Alabama,USA,,Undrafted,Undrafted,63,10.6,5.1,1.8,-6.1,0.187,0.516,0.109,2011-12
445,1614,Alonzo Mourning,MIA,30,82.0,261.0,Georgetown,USA,1992,1,2,79,21.7,9.5,1.6,5.8,0.282,0.596,0.086,1999-00
1887,12603,Alperen Sengun,HOU,20,83.0,243.0,,Turkey,2021,1,16,75,14.8,9.0,3.9,-7.8,0.211,0.599,0.199,2022-23
10154,2604,Alton Ford,PHX,21,81.0,275.0,Houston,USA,2001,2,50,53,3.1,2.0,0.1,-8.7,0.175,0.573,0.027,2001-02
11827,430,Alton Lister,BOS,38,84.0,245.0,Arizona State,USA,1981,1,21,53,1.6,3.2,0.2,-13.3,0.1,0.48,0.038,1996-97
12246,2603,Alvin Jones,PHI,23,83.0,265.0,Georgia Tech,USA,2001,2,56,23,1.1,1.6,0.1,-3.8,0.144,0.451,0.036,2001-02
10513,1017,Alvin Sims,PHX,24,76.0,235.0,Louisville,USA,,Undrafted,Undrafted,4,2.8,1.0,1.3,-30.0,0.272,0.451,0.333,1998-99
2429,2918,Alvin Williams,TOR,28,77.0,185.0,Villanova,USA,1997,2,47,78,13.2,3.1,5.3,-5.7,0.197,0.508,0.266,2002-03
11545,2601,Amal McCaskill,SAS,28,83.0,245.0,Marquette,USA,1996,2,49,27,1.9,1.3,0.1,-10.3,0.223,0.43,0.051,2001-02
152,3822,Amar'e Stoudemire,PHX,22,82.0,245.0,,USA,2002,1,9,80,26.0,8.9,1.6,10.8,0.286,0.617,0.075,2004-05
10794,11359,Amida Brimah,IND,27,82.0,230.0,Connecticut,USA,,Undrafted,Undrafted,5,2.6,1.6,0.2,32.8,0.176,0.697,0.042,2020-21
11122,10284,Amile Jefferson,ORL,26,81.0,222.0,Duke,USA,,Undrafted,Undrafted,12,2.3,1.8,0.3,8.8,0.125,0.692,0.052,2018-19
4694,12009,Amir Coffey,LAC,25,79.0,210.0,Minnesota,USA,,Undrafted,Undrafted,69,9.0,2.9,1.8,-0.9,0.154,0.598,0.112,2021-22
3762,8106,Amir Johnson,TOR,27,81.0,210.0,,USA,2005,2,56,77,10.4,6.6,1.5,4.6,0.166,0.592,0.085,2013-14
2099,7612,Anderson Varejao,CLE,30,83.0,260.0,,Brazil,2004,2,30,25,14.1,14.4,3.4,-7.3,0.18,0.529,0.157,2012-13
9908,1019,Andrae Patterson,MIN,23,81.0,238.0,Indiana,USA,1998,2,46,35,3.3,1.9,0.4,-1.6,0.206,0.505,0.094,1998-99
1340,6466,Andray Blatche,WAS,24,83.0,260.0,,USA,2005,2,49,64,16.8,8.2,2.3,-6.9,0.256,0.497,0.115,2010-11
8486,4316,Andre Barrett,TOR,24,70.0,173.0,Seton Hall,USA,,Undrafted,Undrafted,19,4.6,1.3,2.7,-4.7,0.188,0.398,0.28,2005-06
10298,5050,Andre Brown,MEM,27,81.0,245.0,DePaul,USA,,Undrafted,Undrafted,33,3.0,2.8,0.2,-12.2,0.172,0.502,0.045,2007-08
12503,8253,Andre Dawkins,MIA,23,77.0,219.0,Duke,USA,,Undrafted,Undrafted,4,0.8,0.5,0.3,-18.3,0.153,0.25,0.077,2014-15
1129,10855,Andre Drummond,CLE,26,82.0,279.0,Connecticut,USA,2012,1,9,57,17.7,15.2,2.7,-5.0,0.253,0.553,0.133,2019-20
11218,7004,Andre Emmett,NJN,29,77.0,230.0,Texas Tech,USA,2004,2,35,6,2.2,1.0,0.2,-1.9,0.146,0.618,0.036,2011-12
722,5051,Andre Iguodala,PHI,24,78.0,207.0,Arizona,USA,2004,1,9,82,19.9,5.4,4.8,-0.5,0.24,0.543,0.207,2007-08
2975,9905,Andre Ingram,LAL,32,75.0,190.0,American University,USA,,Undrafted,Undrafted,2,12.0,3.0,3.5,14.1,0.136,0.655,0.149,2017-18
1285,5052,Andre Miller,PHI,32,74.0,200.0,Utah,USA,1999,1,8,82,17.0,4.0,6.9,-1.8,0.227,0.537,0.318,2007-08
9159,5053,Andre Owens,IND,27,76.0,200.0,Houston,USA,,Undrafted,Undrafted,31,4.0,1.5,1.5,-0.4,0.163,0.504,0.18,2007-08
6545,9384,Andre Roberson,OKC,25,79.0,210.0,Colorado,USA,2013,1,26,79,6.6,5.1,1.0,2.8,0.1,0.51,0.045,2016-17
