,YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT
0,2024,Michael Ajayi,SF,77.8,227.8,26.49,,84.8,106.5,9.5,9.8,27.0,34.5,12.0,3.17,3.21
1,2024,Melvin Ajinca,SF,79.3,213.8,23.93,,79.5,106.5,8.5,9.8,26.5,31.0,12.0,3.0,3.38
2,2024,Trey Alexander,SG,75.3,187,23.22,,82.5,101.5,9.0,10.0,27.0,32.0,11.0,3.0,3.0
3,2024,Izan Almansa,C,81.3,219.6,23.39,,85.0,110.0,9.0,9.0,28.0,35.0,11.0,3.0,3.0
4,2024,Reece Beekman,PG,73.3,196.4,25.73,,78.5,100.0,9.0,9.0,30.0,37.0,11.0,3.0,3.0
5,2024,Adem Bona,C,80.3,243.2,26.55,,87.8,108.0,10.0,10.0,35.0,40.0,11.0,3.0,3.0
6,2024,Trevon Brazile,PF,81.3,215,22.9,,87.8,108.5,9.0,10.0,33.0,41.0,11.0,3.0,3.0
7,2024,Jalen Bridges,SF,78.8,213.4,24.19,,82.0,105.0,9.0,10.0,25.0,32.0,11.0,3.0,3.0
8,2024,Matas Buzelis,SF,80.8,197,21.24,,82.0,105.5,9.0,9.0,31.0,38.0,11.0,3.0,3.0
9,2024,Carlton Carrington,PG,75.8,194.8,23.87,,80.0,99.0,9.0,9.0,29.0,37.0,11.28,3.0,3.0
10,2024,Devin Carter,SG,74.3,193,24.61,,80.8,98.0,9.0,9.0,35.0,42.0,10.63,3.0,3.0
11,2024,Stephon Castle,SG,77.5,210,24.58,,81.0,102.0,9.0,9.0,29.0,37.0,10.93,3.0,3.0
12,2024,Ulrich Chomche,C,82.3,232.4,24.15,,88.0,109.0,9.0,10.0,29.0,36.0,11.74,3.0,3.0
13,2024,Cam Christie,SG,76.5,190.4,22.87,,80.0,101.5,8.0,8.0,33.0,36.0,11.07,3.0,3.0
14,2024,Nique Clifford,SF,77.0,198.6,23.55,,80.0,102.0,8.0,9.0,30.0,37.0,10.95,3.0,3.0
