player_name,age,player_height,player_weight,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season,POS,BMI,BF,WNGSPN,STNDRCH,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT
A.J. Guyton,23,73.0,180.0,2000.0,2,32,33,6.0,1.1,1.9,-12.4,0.169,0.495,0.198,2000-01,PG-SG,23.24,,75.75,97.5,33.0,37.5,10.55,,3.22
Aaron Brooks,25,72.0,161.0,2007.0,1,26,82,19.6,2.6,5.3,-0.7,0.258,0.549,0.253,2009-10,PG,23.1,0.027,76.0,94.0,32.5,39.5,10.57,,3.2
Aaron Gordon,22,81.0,220.0,2014.0,1,4,58,17.6,7.9,2.3,-2.0,0.238,0.53,0.111,2017-18,PF,24.48,0.0505,83.75,105.0,32.5,39.0,10.81,2.76,3.27
Aaron Gray,23,84.0,270.0,2007.0,2,49,61,4.3,2.8,0.7,-1.0,0.221,0.529,0.113,2007-08,C,27.0,0.108,87.25,108.5,27.0,32.5,12.07,,3.7
Aaron Harrison,23,78.0,210.0,,Undrafted,Undrafted,9,6.7,2.7,1.2,-14.1,0.147,0.392,0.072,2017-18,SG,25.13,0.06,80.25,100.5,28.5,34.5,,,3.27
Aaron Henry,22,77.0,210.0,,Undrafted,Undrafted,6,0.3,0.2,0.0,-56.0,0.149,0.2,0.0,2021-22,SF,25.18,0.056,82.75,103.5,29.0,35.0,11.68,3.18,3.07
Aaron Holiday,23,72.0,185.0,2018.0,1,23,66,9.5,2.4,3.4,2.2,0.182,0.521,0.188,2019-20,PG,25.54,0.064,79.5,97.0,25.5,33.0,10.96,3.22,3.27
Aaron Miles,23,73.0,190.0,,Undrafted,Undrafted,19,0.8,0.7,1.3,-3.9,0.113,0.405,0.308,2005-06,PG,23.68,,75.5,94.0,32.0,37.5,10.69,,3.22
Aaron Wiggins,23,76.0,190.0,2021.0,2,55,50,8.3,3.6,1.4,-8.1,0.149,0.556,0.083,2021-22,SG-SF,22.82,0.05,81.75,103.0,29.5,36.0,11.2,3.0,3.04
Acie Law,25,75.0,202.0,2007.0,1,11,26,4.3,0.7,1.0,7.0,0.22,0.585,0.17,2009-10,PG,23.88,0.056,78.5,98.0,29.0,34.0,11.0,,3.22
Adam Morrison,22,80.0,205.0,2006.0,1,3,78,11.8,2.9,2.1,-7.0,0.22,0.45,0.121,2006-07,SF,22.59,0.068,82.0,105.0,25.5,30.5,11.46,,3.37
Admiral Schofield,26,77.0,241.0,2019.0,2,42,37,4.2,1.7,0.8,-8.3,0.139,0.587,0.103,2022-23,SF,29.28,0.068,81.75,102.5,30.0,34.0,10.77,2.87,3.37
Adonis Thomas,21,79.0,240.0,,Undrafted,Undrafted,6,2.3,0.5,0.5,10.8,0.184,0.485,0.115,2013-14,SF,27.66,0.075,85.0,99.0,34.5,40.5,11.64,3.11,3.32
Adreian Payne,24,82.0,245.0,2014.0,1,15,32,6.7,5.1,0.9,-16.9,0.176,0.443,0.067,2014-15,PF,25.55,0.0755,88.0,109.0,,,,,
Al Horford,28,82.0,250.0,2007.0,1,3,29,18.6,8.4,2.6,3.7,0.246,0.588,0.139,2013-14,PF,27.02,0.091,84.75,107.0,31.0,35.5,12.15,,3.37
Al Jefferson,24,82.0,265.0,2004.0,1,15,50,23.1,11.0,1.6,-4.6,0.288,0.532,0.082,2008-09,PF-SF,28.53,0.105,86.5,110.0,28.5,30.0,13.08,,3.29
Al Thornton,25,80.0,220.0,2007.0,1,14,71,16.8,5.2,1.5,-10.6,0.228,0.502,0.068,2008-09,SF,25.7,0.058,85.0,104.0,35.0,41.0,11.96,,3.16
Al-Farouq Aminu,25,81.0,215.0,2010.0,1,8,82,10.2,6.1,1.7,1.5,0.169,0.533,0.087,2015-16,SF,24.18,0.082,87.25,108.5,27.0,33.5,11.29,,3.3
Alan Anderson,30,78.0,220.0,,Undrafted,Undrafted,65,10.7,2.3,1.6,-3.7,0.237,0.509,0.125,2012-13,SG-SF,26.81,,81.5,104.0,26.5,30.5,10.32,,3.27
Alan Williams,24,80.0,260.0,,Undrafted,Undrafted,47,7.4,6.2,0.5,-0.3,0.206,0.547,0.049,2016-17,PF,29.26,0.12,85.75,106.5,25.5,28.5,12.26,3.54,3.5
