YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2024,"Ajayi, Michael",SF,77.8,227.8,26.49,NA,84.8,106.5,9.5,9.8,27,34.5,12,3.17,3.21,NA,1.09,92.6,133.5,141
2024,"Ajinca, Melvin",SF,79.3,213.8,23.93,NA,79.5,106.5,8.5,9.8,26.5,31,12,3,3.38,NA,1.003,82.9,133,137.5
2024,"Alexander, Trey",SG,75.3,187,23.22,NA,82.5,101.5,9,10,27,32,11,3,3,NA,1.096,87.5,128.5,133.5
2024,"Almansa, Izan",C,81.3,219.6,23.39,NA,85,110,9,9,28,35,11,3,3,NA,1.046,85.6,138,145
2024,"Beekman, Reece",PG,73.3,196.4,25.73,NA,78.5,100,9,9,30,37,11,3,3,NA,1.072,76.5,130,137
2024,"Bona, Adem",C,80.3,243.2,26.55,NA,87.8,108,10,10,35,40,11,3,3,NA,1.093,95,143,148
2024,"Brazile, Trevon",PF,81.3,215,22.9,NA,87.8,108.5,9,10,33,41,11,3,3,NA,1.08,92.3,141.5,149.5
2024,"Bridges, Jalen",SF,78.8,213.4,24.19,NA,82,105,9,10,25,32,11,3,3,NA,1.041,90,130,137
2024,"Buzelis, Matas",SF,80.8,197,21.24,NA,82,105.5,9,9,31,38,11,3,3,NA,1.015,78.6,136.5,143.5
2024,"Carrington, Carlton",PG,75.8,194.8,23.87,NA,80,99,9,9,29,37,11.28,3,3,NA,1.056,78.6,128,136
2024,"Carter, Devin",SG,74.3,193,24.61,NA,80.8,98,9,9,35,42,10.63,3,3,NA,1.088,78.8,133,140
2024,"Castle, Stephon",SG,77.5,210,24.58,NA,81,102,9,9,29,37,10.93,3,3,NA,1.045,76.6,131,139
2024,"Chomche, Ulrich",C,82.3,232.4,24.15,NA,88,109,9,10,29,36,11.74,3,3,NA,1.07,94.8,138,145
2024,"Christie, Cam",SG,76.5,190.4,22.87,NA,80,101.5,8,8,33,36,11.07,3,3,NA,1.046,64,134.5,137.5
2024,"Clifford, Nique",SF,77,198.6,23.55,NA,80,102,8,9,30,37,10.95,3,3,NA,1.039,72,132,139
2024,"Clingan, Donovan",C,85.8,282,26.96,NA,90.8,115,10,10,26,29,12.06,3,3,NA,1.058,102.5,141,144
2024,"Collier, Isaiah",PG,74.5,204.6,25.91,NA,76.8,97.5,9,9,30,34,10.77,3,3,NA,1.03,76.5,127.5,131.5
2024,"Da Silva, Tristan",PF,80.3,216.8,23.67,NA,82.3,104.5,9,10,29,36,10.81,3,3,NA,1.025,85.5,133.5,140.5
2024,"Dadiet, Pacome",SF,79.8,216.8,23.96,NA,81,107.5,9,9,29,36,11.84,3,3,NA,1.016,76.5,136.5,143.5
2024,"Dante, N'Faly",C,82,260.2,27.2,NA,90,111,9,10,27,33,11.55,3,3,NA,1.098,92.5,138,144
2024,"Dillingham, Robert",PG,73,164.2,21.66,NA,75,95,8,8,NA,NA,NA,NA,NA,NA,1.027,66,NA,NA
2024,"Djurisic, Nikola",SF,79,208.8,23.52,NA,80,102.5,9,10,28,35,10.63,3,3,NA,1.013,85,130.5,137.5
2024,"Dunn, Ryan",PF,78.3,213.6,24.52,NA,85.5,103,9,10,32,39,10.99,3,3,NA,1.093,87.8,135,142
2024,"Edey, Zach",C,87.8,299,27.3,NA,94.8,115,10,11,26,32,11.19,3,3,NA,1.08,107.5,141,147
2024,"Edwards, Jesse",C,83.5,236,23.8,NA,89,111,9,10,31,36,11.24,3,3,NA,1.066,92.5,142,147
2024,"Edwards, Justin",SF,78,209.4,24.2,NA,82,102.5,9,9,28,33,12.07,3,3,NA,1.051,76.6,130.5,135.5
2024,"Ellis, Boogie",PG-SG,72.8,185,24.57,NA,79,98,9,10,32,40,11.98,3,3,NA,1.086,85.5,130,138
2024,"Filipowski, Kyle",PF,82.8,229.8,23.59,NA,82.5,107,9,10,27,33,11.43,3,3,NA,0.997,83.1,134,140
2024,"Flowers, Trentyn",SF,78.5,201.4,22.98,NA,80.3,100.5,9,10,35,42,11.01,3,3,NA,1.022,83.1,135.5,142.5
2024,"Freeman, Enrique",PF,79.3,212,23.73,NA,86,108,9,10,31,35,10.99,3,3,NA,1.085,87.5,139,143
2024,"Furphy, Johnny",SF,79.5,188.8,21,NA,80,104.5,8,10,26,32,11.15,3,3,NA,1.006,76,130.5,136.5
2024,"George, Kyshawn",SF,79,208.8,23.52,NA,82.3,105,9,10.3,27,32,11.9,2.91,3.32,NA,1.041,92.3,132,137
